Ticker,Nome,Razão Social,Setor de Atuação,Segmento
AALR3,Alliança,ALLIANÇA SAÚDE E PARTICIPAÇÕES S.A.,Saúde,Serv.Méd.Hospit..Análises e Diagnósticos
ABCB4,Banco ABC Brasil,BCO ABC BRASIL S.A.,Financeiro,Bancos
ABEV3,Ambev,AMBEV S.A.,Consumo não Cíclico,Cervejas e Refrigerantes
AERI3,Aeris Energy,AERIS IND. E COM. DE EQUIP. GERACAO DE ENERGIA S/A,Bens Industriais,Máq. e Equip. Industriais
AFLT3,Afluente T,AFLUENTE TRANSMISSÃO DE ENERGIA ELÉTRICA S/A,Utilidade Pública,Energia Elétrica
AGRO3,BrasilAgro,BRASILAGRO - CIA BRAS DE PROP AGRICOLAS,Consumo não Cíclico,Agricultura
AGXY3,AgroGalaxy,AGROGALAXY PARTICIPAÇÕES S.A.,Consumo não Cíclico,Agricultura
AHEB3,São Paulo Turismo,SAO PAULO TURISMO S.A.,Consumo Cíclico,Produção de Eventos e Shows
AHEB6,São Paulo Turismo,SAO PAULO TURISMO S.A.,Consumo Cíclico,Produção de Eventos e Shows
ALLD3,Allied,ALLIED TECNOLOGIA S.A.,Consumo Cíclico,Eletrodomésticos
ALOS3,Allos,ALLOS S.A,Financeiro,Exploração de Imóveis
ALPA3,Alpargatas,ALPARGATAS S.A.,Consumo Cíclico,Calçados
ALPA4,Alpargatas,ALPARGATAS S.A.,Consumo Cíclico,Calçados
ALPK3,Estapar,ALLPARK EMPREENDIMENTOS PARTICIPACOES SERVICOS S.A,Bens Industriais,Serviços Diversos
ALUP11,Alupar,ALUPAR INVESTIMENTO S/A,Utilidade Pública,Energia Elétrica
ALUP3,Alupar,ALUPAR INVESTIMENTO S/A,Utilidade Pública,Energia Elétrica
ALUP4,Alupar,ALUPAR INVESTIMENTO S/A,Utilidade Pública,Energia Elétrica
AMAR11,Lojas Marisa,MARISA LOJAS S.A.,Consumo Cíclico,Tecidos. Vestuário e Calçados
AMAR3,Lojas Marisa,MARISA LOJAS S.A.,Consumo Cíclico,Tecidos. Vestuário e Calçados
AMBP3,Ambipar,AMBIPAR PARTICIPACOES E EMPREENDIMENTOS S/A,Utilidade Pública,Água e Saneamento
AMER3,Americanas,AMERICANAS S.A,Consumo Cíclico,Produtos Diversos
ANIM3,Ânima Educação,ANIMA HOLDING S.A.,Consumo Cíclico,Serviços Educacionais
ARML3,Armac,ARMAC LOCAÇÃO. LOGÍSTICA E SERVIÇOS S.A.,Bens Industriais,Máq. e Equip. Industriais
ASAI3,Assaí,SENDAS DISTRIBUIDORA S.A.,Consumo não Cíclico,Alimentos
ATMP3,Atma,ATMA PARTICIPAÇÕES S.A.,Bens Industriais,Serviços Diversos
AURE3,Auren Energia,AUREN ENERGIA S.A.,Utilidade Pública,Energia Elétrica
AVLL3,Alphaville,ALPHAVILLE S.A.,Consumo Cíclico,Incorporações
AZEV11,Azevedo & Travassos,AZEVEDO E TRAVASSOS S.A.,Bens Industriais,Construção Pesada
AZEV3,Azevedo & Travassos,AZEVEDO E TRAVASSOS S.A.,Bens Industriais,Construção Pesada
AZEV4,Azevedo & Travassos,AZEVEDO E TRAVASSOS S.A.,Bens Industriais,Construção Pesada
AZUL4,Azul,AZUL S.A.,Bens Industriais,Transporte Aéreo
AZZA3,Arezzo,AZZAS 2154 S.A.,Consumo Cíclico,Tecidos. Vestuário e Calçados
B3SA3,B3,B3 S.A. - BRASIL. BOLSA. BALCÃO,Financeiro,Serviços Financeiros Diversos
BALM4,Baumer,BAUMER S.A.,Saúde,Equipamentos
BAUH4,Excelsior,EXCELSIOR ALIMENTOS S.A.,Consumo não Cíclico,Carnes e Derivados
BAZA3,Banco da Amazônia,BCO AMAZONIA S.A.,Financeiro,Bancos
BBAS3,Banco do Brasil,BCO BRASIL S.A.,Financeiro,Bancos
BBDC3,Banco Bradesco,BCO BRADESCO S.A.,Financeiro,Bancos
BBDC4,Banco Bradesco,BCO BRADESCO S.A.,Financeiro,Bancos
BBSE3,BB Seguridade,BB SEGURIDADE PARTICIPAÇÕES S.A.,Financeiro,Seguradoras
BEEF3,Minerva,MINERVA S.A.,Consumo não Cíclico,Carnes e Derivados
BEES3,Banestes,BANESTES S.A. - BCO EST ESPIRITO SANTO,Financeiro,Bancos
BEES4,Banestes,BANESTES S.A. - BCO EST ESPIRITO SANTO,Financeiro,Bancos
BGIP3,Banese,BCO ESTADO DE SERGIPE S.A. - BANESE,Financeiro,Bancos
BGIP4,Banese,BCO ESTADO DE SERGIPE S.A. - BANESE,Financeiro,Bancos
BHIA3,Casas Bahia,GRUPO CASAS BAHIA S.A.,Consumo Cíclico,Eletrodomésticos
BIOM11,Biomm,BIOMM S.A.,Saúde,Medicamentos e Outros Produtos
BIOM3,Biomm,BIOMM S.A.,Saúde,Medicamentos e Outros Produtos
BLAU3,Blau Farmacêutica,BLAU FARMACÊUTICA S.A.,Saúde,Medicamentos e Outros Produtos
BMEB3,Banco Mercantil do Brasil,BCO MERCANTIL DO BRASIL S.A.,Financeiro,Bancos
BMEB4,Banco Mercantil do Brasil,BCO MERCANTIL DO BRASIL S.A.,Financeiro,Bancos
BMGB4,Banco BMG,BANCO BMG S.A.,Financeiro,Bancos
BMIN3,Banco Mercantil de Investimentos,BCO MERCANTIL DE INVESTIMENTOS S.A.,Financeiro,Bancos
BMIN4,Banco Mercantil de Investimentos,BCO MERCANTIL DE INVESTIMENTOS S.A.,Financeiro,Bancos
BMKS3,Monark,BICICLETAS MONARK S.A.,Consumo Cíclico,Bicicletas
BMOB3,Bemobi,BEMOBI MOBILE TECH S.A.,Tecnologia da Informação,Programas e Serviços
BNBR3,Banco do Nordeste,BCO NORDESTE DO BRASIL S.A.,Financeiro,Bancos
BOBR4,Bombril,BOMBRIL S.A.,Consumo não Cíclico,Produtos de Limpeza
BPAC11,Banco BTG Pactual,BCO BTG PACTUAL S.A.,Financeiro,Bancos
BPAC3,Banco BTG Pactual,BCO BTG PACTUAL S.A.,Financeiro,Bancos
BPAC5,Banco BTG Pactual,BCO BTG PACTUAL S.A.,Financeiro,Bancos
BPAN4,Banco Pan,BCO PAN S.A.,Financeiro,Bancos
BRAP3,Bradespar,BRADESPAR S.A.,Materiais Básicos,Minerais Metálicos
BRAP4,Bradespar,BRADESPAR S.A.,Materiais Básicos,Minerais Metálicos
BRAV3,3R Petroleum,BRAVA ENERGIA S.A.,Petróleo. Gás e Biocombustíveis,Exploração. Refino e Distribuição
BRBI11,BR Partners,BR ADVISORY PARTNERS PARTICIPAÇÕES S.A.,Financeiro,Bancos
BRFS3,BRF,BRF S.A.,Consumo não Cíclico,Carnes e Derivados
BRKM3,Braskem,BRASKEM S.A.,Materiais Básicos,Petroquímicos
BRKM5,Braskem,BRASKEM S.A.,Materiais Básicos,Petroquímicos
BRKM6,Braskem,BRASKEM S.A.,Materiais Básicos,Petroquímicos
BRSR3,Banrisul,BCO ESTADO DO RIO GRANDE DO SUL S.A.,Financeiro,Bancos
BRSR5,Banrisul,BCO ESTADO DO RIO GRANDE DO SUL S.A.,Financeiro,Bancos
BRSR6,Banrisul,BCO ESTADO DO RIO GRANDE DO SUL S.A.,Financeiro,Bancos
BRST3,Brisanet,BRISANET SERVIÇOS DE TELECOMUNICAÇÕES S.A.,Comunicações,Telecomunicações
BSLI3,Banco de Brasília,BRB BCO DE BRASILIA S.A.,Financeiro,Bancos
BSLI4,Banco de Brasília,BRB BCO DE BRASILIA S.A.,Financeiro,Bancos
CAMB3,Cambuci,CAMBUCI S.A.,Consumo Cíclico,Calçados
CAML3,Camil Alimentos,CAMIL ALIMENTOS S.A.,Consumo não Cíclico,Alimentos Diversos
CASH3,Méliuz,MÉLIUZ S.A.,Tecnologia da Informação,Programas e Serviços
CBAV3,CBA,COMPANHIA BRASILEIRA DE ALUMÍNIO,Materiais Básicos,Minerais Metálicos
CBEE3,Ampla Energia,AMPLA ENERGIA E SERVICOS S.A.,Utilidade Pública,Energia Elétrica
CCRO3,Grupo CCR,CCR S.A.,Bens Industriais,Exploração de Rodovias
CEAB3,C&A,CEA MODAS S.A.,Consumo Cíclico,Tecidos. Vestuário e Calçados
CEBR3,CEB,CIA ENERGETICA DE BRASILIA,Utilidade Pública,Energia Elétrica
CEBR5,CEB,CIA ENERGETICA DE BRASILIA,Utilidade Pública,Energia Elétrica
CEBR6,CEB,CIA ENERGETICA DE BRASILIA,Utilidade Pública,Energia Elétrica
CEDO3,Cedro Têxtil,CIA FIACAO TECIDOS CEDRO CACHOEIRA,Consumo Cíclico,Fios e Tecidos
CEDO4,Cedro Têxtil,CIA FIACAO TECIDOS CEDRO CACHOEIRA,Consumo Cíclico,Fios e Tecidos
CEEB3,COELBA,CIA ELETRICIDADE EST. DA BAHIA - COELBA,Utilidade Pública,Energia Elétrica
CGAS3,Comgás,CIA GAS DE SAO PAULO - COMGAS,Utilidade Pública,Gás
CGAS5,Comgás,CIA GAS DE SAO PAULO - COMGAS,Utilidade Pública,Gás
CGRA3,Grazziotin,GRAZZIOTIN S.A.,Consumo Cíclico,Tecidos. Vestuário e Calçados
CGRA4,Grazziotin,GRAZZIOTIN S.A.,Consumo Cíclico,Tecidos. Vestuário e Calçados
CLSA3,ClearSale,CLEAR SALE S.A.,Financeiro,Serviços Financeiros Diversos
CLSC3,Celesc,CENTRAIS ELET DE SANTA CATARINA S.A.,Utilidade Pública,Energia Elétrica
CLSC4,Celesc,CENTRAIS ELET DE SANTA CATARINA S.A.,Utilidade Pública,Energia Elétrica
CMIG3,Cemig,CIA ENERGETICA DE MINAS GERAIS - CEMIG,Utilidade Pública,Energia Elétrica
CMIG4,Cemig,CIA ENERGETICA DE MINAS GERAIS - CEMIG,Utilidade Pública,Energia Elétrica
CMIN3,CSN Mineração,CSN MINERAÇÃO S.A.,Materiais Básicos,Minerais Metálicos
COCE5,Coelce,CIA ENERGETICA DO CEARA - COELCE,Utilidade Pública,Energia Elétrica
COGN3,Cogna,COGNA EDUCAÇÃO S.A.,Consumo Cíclico,Serviços Educacionais
CPFE3,CPFL Energia,CPFL ENERGIA S.A.,Utilidade Pública,Energia Elétrica
CPLE3,Copel,CIA PARANAENSE DE ENERGIA - COPEL,Utilidade Pública,Energia Elétrica
CPLE5,Copel,CIA PARANAENSE DE ENERGIA - COPEL,Utilidade Pública,Energia Elétrica
CPLE6,Copel,CIA PARANAENSE DE ENERGIA - COPEL,Utilidade Pública,Energia Elétrica
CRFB3,Carrefour Brasil,ATACADÃO S.A.,Consumo não Cíclico,Alimentos
CRPG5,Tronox Pigmentos,TRONOX PIGMENTOS DO BRASIL S.A.,Materiais Básicos,Químicos Diversos
CRPG6,Tronox Pigmentos,TRONOX PIGMENTOS DO BRASIL S.A.,Materiais Básicos,Químicos Diversos
CSAN3,Cosan,COSAN S.A.,Petróleo. Gás e Biocombustíveis,Exploração. Refino e Distribuição
CSED3,Cruzeiro do Sul Educacional,CRUZEIRO DO SUL EDUCACIONAL S.A.,Consumo Cíclico,Serviços Educacionais
CSMG3,COPASA,CIA SANEAMENTO DE MINAS GERAIS-COPASA MG,Utilidade Pública,Água e Saneamento
CSNA3,Siderúrgica Nacional,CIA SIDERURGICA NACIONAL,Materiais Básicos,Siderurgia
CSUD3,CSU Cardsystem,CSU DIGITAL S.A.,Financeiro,Serviços Financeiros Diversos
CTKA3,Karsten,KARSTEN S.A.,Consumo Cíclico,Fios e Tecidos
CTKA4,Karsten,KARSTEN S.A.,Consumo Cíclico,Fios e Tecidos
CTSA3,Santanense,CIA TECIDOS SANTANENSE,Consumo Cíclico,Fios e Tecidos
CTSA4,Santanense,CIA TECIDOS SANTANENSE,Consumo Cíclico,Fios e Tecidos
CURY3,Cury,CURY CONSTRUTORA E INCORPORADORA S.A.,Consumo Cíclico,Incorporações
CVCB3,CVC,CVC BRASIL OPERADORA E AGÊNCIA DE VIAGENS S.A.,Consumo Cíclico,Viagens e Turismo
CXSE3,Caixa Seguridade,CAIXA SEGURIDADE PARTICIPAÇÕES S.A.,Financeiro,Seguradoras
CYRE3,Cyrela,CYRELA BRAZIL REALTY S.A.EMPREEND E PART,Consumo Cíclico,Incorporações
DASA11,DASA11,DIAGNOSTICOS DA AMERICA S.A.,Saúde,Serv.Méd.Hospit..Análises e Diagnósticos
DASA3,Dasa,DIAGNOSTICOS DA AMERICA S.A.,Saúde,Serv.Méd.Hospit..Análises e Diagnósticos
DESK3,Desktop,DESKTOP S.A.,Comunicações,Telecomunicações
